StationId left top width height z-index
TUM 9% 21% 13px 9px 106
SIH 9% 13.3% 13px 9px 107
TIS 9.9% 4.6% 13px 9px 108
LOP 12.5% 7.6% 9px 9px 109
YUL 12% 12.3% 13px 9px 110
KSR 12.5% 17% 9px 9px 111
TWW 13.8% 23.6% 9px 9px 112
TSW 13.8% 28.3% 9px 9px 113
AWE 15.1% 40.6% 9px 9px 114
AIR 13% 44.8% 9px 9px 115
TUC 15.3% 49% 9px 9px 172
TWH 19.3% 28.4% 9px 9px 117
KWH 23.6% 28.4% 9px 9px 118
SUN 21.3% 41.5% 12px 12px 119
DIS 24.2% 48.2% 9px 9px 120
KET 20.9% 59.4% 9px 9px 121
KWF 28% 28.4% 9px 9px 122
TSY 26.4% 33.4% 12px 12px 123
HKU 28.6% 59.3% 9px 9px 124
LAK 31.9% 28.4% 9px 13px 125
KOW 34.8% 48.9% 12px 9px 126
SYP 33.4% 59.4% 9px 9px 127
OLY 35.3% 43% 9px 9px 128
NAC 35.3% 35.1% 12px 9px 129
MEF 35.7% 28.5% 9px 12px 130
LCK 39.7% 28.4% 9px 9px 131
AUS 40.8% 49.1% 9px 9px 132
HOK 43.1% 57.1% 9px 12px 133
SHW 38.4% 59.5% 9px 9px 134
CEN 43.1% 59.5% 9px 12px 135
CSW 43.1% 28.4% 9px 9px 136
SSP 48.6% 28.4% 9px 9px 137
PRE 50.3% 32.4% 12px 9px 138
MOK 50.3% 36.9% 12px 9px 139
YMT 50.3% 41.4% 12px 9px 2
JOR 50.3% 46% 9px 9px 141
TST 50.3% 50.1% 9px 9px 142
ADM 47.6% 59% 9px 14px 143
ETS 51.6% 51.8% 9px 9px 144
WAC 53.6% 59.5% 9px 9px 145
OCP 50.3% 66.9% 9px 9px 146
WCH 45.9% 69% 9px 9px 147
CAB 58.1% 59.5% 9px 9px 148
HUH 57.5% 50.9% 12px 9px 149
WHA 63.6% 50.2% 9px 9px 150
HOM 60.9% 46.7% 9px 9px 151
MKK 57.8% 37.6% 9px 9px 152
TIH 62.8% 59.5% 9px 9px 153
SKM 54.2% 28.4% 9px 9px 154
KOT 57.7% 28.4% 9px 12px 155
TAW 57.7% 22.5% 13px 9px 156
SHT 57.7% 17.7% 9px 9px 157
FOT 57.7% 12.3% 9px 9px 158
RAC 59.2% 12.3% 9px 9px 159
LOF 61.1% 28.4% 9px 9px 160 
FOH 67.4% 59.5% 9px 9px 161 
WTS 66% 28.4% 9px 9px 162 
CKT 64.5% 17.5% 9px 9px 163 
STW 64.5% 12.3% 9px 9px 164 
CIO 67.6% 5.1% 9px 9px 165 
SHM 72.1% 5.1% 9px 9px 166 
TSH 76.9% 5.1% 9px 9px 167 
HEO 81.5% 5.1% 9px 9px 168 
MOS 86.4% 5.1% 9px 9px 169 
DIH 70.9% 28.4% 9px 9px 170 
CHH 75.7% 28.4% 9px 9px 171 
KOB 79% 29.7% 9px 9px 172 
NTK 79.4% 33.3% 9px 9px 173 
KWT 79.4% 38% 9px 9px 174 
LAT 79.4% 42.4% 9px 9px 175 
YAT 81.9% 45.2% 9px 12px 176 
QUB 77.5% 59% 9px 12px 177 
NOP 72.5% 59% 9px 12px 178 
TAK 82.2% 59.5% 9px 9px 179 
TIK 86% 45.2% 9px 12px 180 
WKS 92.5% 5.1% 9px 9px 181 
SWH 86.6% 59.5% 9px 9px 182 
POA 92.5% 33.8% 9px 9px 183 
HAH 92.5% 38.7% 9px 9px 184 
TKO 90.1% 45.7% 9px 12px 185 
LHP 92.5% 51.8% 9px 9px 186 
SKW 91.3% 64.0% 9px 9px 187 
HFC 92.5% 69.5% 9px 9px 188 
CHW 92.5% 74.6% 9px 9px 189 
SOH 30.8% 72.2% 9px 9px 190 
LET 37.5% 72.2% 9px 9px 191 
LMC 31.3% 7.4% 9px 9px 192 
LOW 34.2% 5.1% 9px 9px 193 
SHS 38.6% 5.1% 9px 12px 194 
FAN 41.9% 5.1% 9px 9px 195 
TWO 46% 5.1% 9px 9px 196 
TAP 50.2% 5.1% 9px 9px 197 
UNI 54.9% 5.1% 9px 9px 198
